Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
1,"Doctor navarro 206. Colonia doctores. Distrito federal. 06720, -",Doctor navarro 206. Colonia doctores. Distrito federal. 06720,Doctores,-,-
3,"28 de agosto numero 10 , Colonia Escandon, Delegación Miguel Hidalgo, C.P. 11800, Ciudad de México, -","28 de agosto numero 10 , Colonia Escandon, Delegación Miguel Hidalgo, C.P. 11800, Ciudad de México",Escandon,-,-
4,"Avenida Obrero Mundial 240 colonia piedad Narvarte 03000, -",Avenida Obrero Mundial 240 colonia piedad Narvarte 03000,Narvarte,-,-
5,"rwgfegerg, -",rwgfegerg,-,-,-
7,"28 de agosto No. 10 depto 19, Colonia Escandón. CP. 11800, -","28 de agosto No. 10 depto 19, Colonia Escandón. CP. 11800",-,-,-
8,"Detroit 46, -",Detroit 46,Napoles,-,-
9,"Iris 2 jardines de coyoacan Ciudad de México, -",Iris 2 jardines de coyoacan Ciudad de México,-,-,-
10,"Ramon Fabie 7 Paulino Navarro Cuauhtemoc 06860, Ciudad de México",Ramon Fabie 7 Paulino Navarro Cuauhtemoc 06860,Paulino Navarro,Ciudad de México,-
11,"Chimalpopoca 7, colonia Obrera, CDMX, -","Chimalpopoca 7, colonia Obrera, CDMX",Obrera,-,6800
12,"Providencia no. 511, Colonia Del Valle, México, C. P. 03100, -","Providencia no. 511, Colonia Del Valle, México, C. P. 03100",Del Valle,-,-
13,"Hacienda de tepeapulco 54 Hacienda de vallescondio atizoan Estado de México 52937, Estado de México",Hacienda de tepeapulco 54 Hacienda de vallescondio atizoan Estado de México 52937,Hacienda de Escondido,Estado de México,-
15,"Providencia 1032 101 colonia Del Valle 03100 delegación Benito Juárez Ciudad de México, Ciudad de México",Providencia 1032 101 colonia Del Valle 03100 delegación Benito Juárez Ciudad de México,Del Valle,Ciudad de México,-
16,"Xochicalco 121 col narvarte cdmx cp 03020, -",Xochicalco 121 col narvarte cdmx cp 03020,Narvarte,-,-
18,"Calzada del Hueso 713, tlalpan,, p 14350, CDMX, Ciudad de México","Calzada del Hueso 713, tlalpan,, p 14350, CDMX",Coapa,Ciudad de México,-
19,"Avenida victoria oriente 3905 Gustavo A Madero 07850, -",Avenida victoria oriente 3905 Gustavo A Madero 07850,-,-,-
20,"Garambullo,38, un hogar para nosotros, del. MH, 11330, -","Garambullo,38, un hogar para nosotros, del. MH, 11330",-,-,-
21,"Av Centenario 283, Edificio H-2 entrada 3, Unidad Lomas de Plateros, Del Álvaro Obregón, Col Mixcoac, CP 01480, Cdmx, Ciudad de México","Av Centenario 283, Edificio H-2 entrada 3, Unidad Lomas de Plateros, Del Álvaro Obregón, Col Mixcoac, CP 01480, Cdmx",Mixcoac,Ciudad de México,-
22,"Newton, 280, Polanco, Miguel Hidalgo, CDMX CP 11560, Ciudad de México","Newton, 280, Polanco, Miguel Hidalgo, CDMX CP 11560",POLANCO,Ciudad de México,-
23,"Sur 69 A colonia banjidal número 206 distrito Federal código 09450, -",Sur 69 A colonia banjidal número 206 distrito Federal código 09450,Banjidal,-,-
24,"Carlota armero 198 entre 6to andador de la Virgen y eje 3, -",Carlota armero 198 entre 6to andador de la Virgen y eje 3,-,-,-
25,"Naranjos 107 Col paraje 38 tlalpan cdmx 14275, Ciudad de México",Naranjos 107 Col paraje 38 tlalpan cdmx 14275,Paraje,Ciudad de México,-
26,"Culiacan 40-301, Col. Hipodromo, Deleg. Cuauhtemoc, CDMX, C.P. 06100, Ciudad de México","Culiacan 40-301, Col. Hipodromo, Deleg. Cuauhtemoc, CDMX, C.P. 06100",Condesa,Ciudad de México,-
27,"Gladiolas 106, colonia Ciudad Jardín, CD.MX. 04380, -","Gladiolas 106, colonia Ciudad Jardín, CD.MX. 04380",Ciudad Jardín,-,4370
28,"Ingenio Villavista, número 8, Fraccionamiento los Cañaverales, Jojutla, Morelos, Jojutla Morelos","Ingenio Villavista, número 8, Fraccionamiento los Cañaverales, Jojutla, Morelos",Los cañaverales,Jojutla Morelos,-
30,"Real del monte 148, Colonia Industrial, Estado de México, -","Real del monte 148, Colonia Industrial, Estado de México",Industrial,-,-
31,"Azucena 5 lomas de chamontoya CD.MX. 01857, Ciudad de México",Azucena 5 lomas de chamontoya CD.MX. 01857,Lomas de Chamontoya,Ciudad de México,-
32,"Matanzas 717, Lindavista, D.F, 07300, Ciudad de México","Matanzas 717, Lindavista, D.F, 07300",Lindavista,Ciudad de México,-
33,"Av Popocatépetl 138, portales sur, Benito Juárez, 03300, -","Av Popocatépetl 138, portales sur, Benito Juárez, 03300",-,-,-
34,"Uxmal 443, narvarte, Benito Juárez, 03020. Cdmx, -","Uxmal 443, narvarte, Benito Juárez, 03020. Cdmx",Narvarte,-,-
35,"Minería 96, Col Escandon, CDMX, 11800, -","Minería 96, Col Escandon, CDMX, 11800",Escandon,-,-
36,"Patricio Sanz # 1747 ,Col. Del Valle, Ciudad de México , C.P. 03100, -","Patricio Sanz # 1747 ,Col. Del Valle, Ciudad de México , C.P. 03100",Del Valle,-,-
37,"Av. Plutarco Elías Calles 660, edil Y en la unidad habitacional 5 de diciembre, iztacalco, -","Av. Plutarco Elías Calles 660, edil Y en la unidad habitacional 5 de diciembre, iztacalco",Unidad 5 de Diciembre,-,8619
39,"Fresno 69 A Col Lomas de San Bernabé Del. Magdalena Contreras CP 10350, -",Fresno 69 A Col Lomas de San Bernabé Del. Magdalena Contreras CP 10350,Lomas de San Bernabe,-,-
40,"Carrizo 338, Torres Lindavista, GAM, CDM 07708, -","Carrizo 338, Torres Lindavista, GAM, CDM 07708",Torres Lindavista,-,-
41,"Río Lerma 40 , Colonia Cuauhtémoc. CDMX. 06500, -","Río Lerma 40 , Colonia Cuauhtémoc. CDMX. 06500",CUAUHTEMOC,-,-
42,"Av de las granjas 215 jardin azpeitia ciudad de mexico 02040, -",Av de las granjas 215 jardin azpeitia ciudad de mexico 02040,Jardin Azpeitia,-,-
43,"Manuel González #380, edificio Andrés Quintana Roo, Nonoalco Tlatelolco, 06900, -","Manuel González #380, edificio Andrés Quintana Roo, Nonoalco Tlatelolco, 06900",Nonoalco Tlatelolco,-,-
44,"Avenida división del norte 519 colonia Del Valle, delegación Benito Juárez cp03100, -","Avenida división del norte 519 colonia Del Valle, delegación Benito Juárez cp03100",Del Valle,-,-
46,"Agustin gonzalez de cossio 123 int 204 Del Valle Benito Juarez 03100, -",Agustin gonzalez de cossio 123 int 204 Del Valle Benito Juarez 03100,Del Valle,-,-
48,"Plomeros 153 colonia Emilio carranza 15230, Ciudad de México",Plomeros 153 colonia Emilio carranza 15230,Emilio Carranza (cerca de Tepito),Ciudad de México,-
49,"Lago Xochimilco 65, Anáhuac. 11320, -","Lago Xochimilco 65, Anáhuac. 11320",Anahuac,-,-
51,"Aguascalientes 237 hipódromo cuauhtemoc 06100, -",Aguascalientes 237 hipódromo cuauhtemoc 06100,Condesa,-,-
52,"Cerro de la Estrella 418, -",Cerro de la Estrella 418,-,-,-
53,"Av. México tulyehualco, San gregorio, Xochimilco, Ciudad de México","Av. México tulyehualco, San gregorio, Xochimilco",San Gregorio,Ciudad de México,-
54,"Río Pánuco 66 D402 Col Cuauhtémoc Del Cuauhtémoc. CDMX CP 06500, Ciudad de México",Río Pánuco 66 D402 Col Cuauhtémoc Del Cuauhtémoc. CDMX CP 06500,CUAUHTEMOC,Ciudad de México,-
55,"Ignacio Mariscal, 59, Tabacalera, Ciudad de México, 06030, -","Ignacio Mariscal, 59, Tabacalera, Ciudad de México, 06030",TABACALERA,-,-
56,"Azucenas mz9 lt21 colonia jardines de san Lorenzo delegación Iztapalapa c.p. 09940 CD.MX., -",Azucenas mz9 lt21 colonia jardines de san Lorenzo delegación Iztapalapa c.p. 09940 CD.MX.,Jardines de San Lorenzo,-,-
57,"Pestalozzi 408 Col. Narvarte Ciudad de México, -",Pestalozzi 408 Col. Narvarte Ciudad de México,Narvarte,-,3020
59,"Miguel Bernard 121 int. Monte Albán 303, col. La Escalera, CP 07320, del. GAM, CDMX, -","Miguel Bernard 121 int. Monte Albán 303, col. La Escalera, CP 07320, del. GAM, CDMX",LA ESCALERA,-,-
60,"Adolfo Prieto 1551 Del valle sur Benito Juarez 03104, -",Adolfo Prieto 1551 Del valle sur Benito Juarez 03104,Del Valle Sur,-,-
61,"Dakota 79, -",Dakota 79,Napoles,-,3810
62,"Plutarco Elías calle 1346. Colonia Reforma Iztaccíhuatl., -",Plutarco Elías calle 1346. Colonia Reforma Iztaccíhuatl.,Reforma Iztaccihuatl,-,8810
63,"Nivel 120 col. Lorenzo boturini del. Venustiano carranza. Cdmx. C.p 15820, -",Nivel 120 col. Lorenzo boturini del. Venustiano carranza. Cdmx. C.p 15820,Lorenzo Boturini,-,-
64,"Chihuahua 79 Col. Roma Norte. 06700 Cd. De México, -",Chihuahua 79 Col. Roma Norte. 06700 Cd. De México,Roma Norte,-,-
67,"1a cerrada xola 5. Del Valle. CDMX. 03100, -",1a cerrada xola 5. Del Valle. CDMX. 03100,Del Valle,-,-
68,"Pestalozzi 611, Narvarte Poniente, CD.MX., 03020, -","Pestalozzi 611, Narvarte Poniente, CD.MX., 03020",NARVARTE PONIENTE,-,-
70,"Medellín 108, Roma Norte, 06700, -","Medellín 108, Roma Norte, 06700",-,-,-
72,"Cda de constructores, Condominio 8 casa 16, Fracc. Las Armas, Nezahualcóyotl, c.p. 57178, Nezahualcoyotl, Estado de México","Cda de constructores, Condominio 8 casa 16, Fracc. Las Armas, Nezahualcóyotl, c.p. 57178",Las ARmas,"Nezahualcoyotl, Estado de México",-
73,"Balderas 54, Centro Histórico, 06000, -","Balderas 54, Centro Histórico, 06000",CENTRO HISTÓRICO,-,-
75,"Av. Taller 202 Col. Lorenzo Boturini Delg. Venustiano Carranza, -",Av. Taller 202 Col. Lorenzo Boturini Delg. Venustiano Carranza,Lorenzo Boturini,-,15820
76,"Insurgentes Sur 470, Ciudad de México",Insurgentes Sur 470,ROMA SUR,Ciudad de México,6760
77,"CERRO DEL AGUA 179 EDIF. BRASIL COL. ROMERO DE TERREROS CP 04350 CDMX, -",CERRO DEL AGUA 179 EDIF. BRASIL COL. ROMERO DE TERREROS CP 04350 CDMX,Romero de Terreros,-,-
78,"Manzanillo 123 Roma Sur . Cuauhtemoc , DF 06760, -","Manzanillo 123 Roma Sur . Cuauhtemoc , DF 06760",ROMA SUR,-,-
80,"Calle 9 num, Col. El Sol, Nezahualcóyotl, Edo de Méx. CP 57200, Nezahualcoyotl, Estado de México","Calle 9 num, Col. El Sol, Nezahualcóyotl, Edo de Méx. CP 57200",El Sol,"Nezahualcoyotl, Estado de México",-
81,"Calle jalpan 4502 #202 colonia La Paz C.P.72160, -",Calle jalpan 4502 #202 colonia La Paz C.P.72160,La Paz,-,-
82,"Nrte 14, Mza 748, l 15, col. Conceción, Valle de Chalco, Estado de México CP 56615, Valle del Chalco, Estado de México","Nrte 14, Mza 748, l 15, col. Conceción, Valle de Chalco, Estado de México CP 56615",-,"Valle del Chalco, Estado de México",-
83,"Avenida Ejército Nacional 244, Andrés, CDMX 11590, -","Avenida Ejército Nacional 244, Andrés, CDMX 11590",Andres,-,-
84,"Maturines, 4, Francisco villa, cdmx, 01280, -","Maturines, 4, Francisco villa, cdmx, 01280",Francisco Villa,-,-
85,"Río Becerra 137, col Nápoles, CDMX, Cp. 03810, -","Río Becerra 137, col Nápoles, CDMX, Cp. 03810",Napoles,-,3810
86,"Torre Médica Churubusco, Calzada la Viga 1758, Col. Héroes de Churubusco cp. 09090, -","Torre Médica Churubusco, Calzada la Viga 1758, Col. Héroes de Churubusco cp. 09090",HEROES DE CHURUBUSCO,-,-
87,"Constitución 42 ampliación petrolera cdmx 02470, -",Constitución 42 ampliación petrolera cdmx 02470,Ampliación Petrolera,-,-
88,"1er andador río San Pedro edf. 12-B Col. U.H. Arbolillo 1 CTM C.P. 07269, -",1er andador río San Pedro edf. 12-B Col. U.H. Arbolillo 1 CTM C.P. 07269,CTM,-,-
89,"Río azul 34 col. Valle de san Lorenzo , Iztapalapa cp 09970, Ciudad de México","Río azul 34 col. Valle de san Lorenzo , Iztapalapa cp 09970",Valle de San Lorezo,Ciudad de México,-
90,"Cuadra Bajío 21, Roma Sur, Cuauhtémo,06070, -","Cuadra Bajío 21, Roma Sur, Cuauhtémo,06070",ROMA SUR,-,-
91,"Calzada de Tlalpan 550 col. Moderna. Delgación Benito Juárez 03510, -",Calzada de Tlalpan 550 col. Moderna. Delgación Benito Juárez 03510,Moderna,-,-
92,"Canal de caledonio,#35,insurgentes,09750, Ciudad de México","Canal de caledonio,#35,insurgentes,09750",Insurgentes,Ciudad de México,-
93,"Calle Reforma número 12, Colonia ampliación Mariano Escobedo, Tlacotepec, Morelos, Tlacotepec, Morelos","Calle Reforma número 12, Colonia ampliación Mariano Escobedo, Tlacotepec, Morelos",Mariano Escobedo,"Tlacotepec, Morelos",-
95,"Puerto Rico 20 col parque san Andrés delegación Coyoacán cp 04040, -",Puerto Rico 20 col parque san Andrés delegación Coyoacán cp 04040,PARQUE SAN ANDRÉS,-,-
96,"Molino 25, La planta CDMX,09960, -","Molino 25, La planta CDMX,09960",La planta,-,-
98,"Avenida Popocatépetl 474, -",Avenida Popocatépetl 474,-,-,-
99,"Ricardo Monges 67, los Olivos Tlahuac, -","Ricardo Monges 67, los Olivos Tlahuac",Los Olivos,-,-
100,"Vía láctea 21, Prado Churubusco, Ciudad de México, 04230, -","Vía láctea 21, Prado Churubusco, Ciudad de México, 04230",PRADO CHURUBUSCO,-,-
101,"Palma no. 7, colonia ciudad de los niños, Naucalpan, estado de México. C. P. 53450, -","Palma no. 7, colonia ciudad de los niños, Naucalpan, estado de México. C. P. 53450",Ciudad de los niños,-,-
103,"Bernardo Quintana 400 Torre E 204 La Loma Santa Fe Cd de Mexico. Tel 0445554538150, -",Bernardo Quintana 400 Torre E 204 La Loma Santa Fe Cd de Mexico. Tel 0445554538150,LOMAS DE SANTA FE,-,-
104,"mitla 142, narvarte, dcmx, 03020, -","mitla 142, narvarte, dcmx, 03020",Narvate,-,-
105,"Av. Santa Ana 294 Col. Ex Ejidos de San Francisco Culhuacán, Del. Coyoacán, CDMX, C.P. 04470,, -","Av. Santa Ana 294 Col. Ex Ejidos de San Francisco Culhuacán, Del. Coyoacán, CDMX, C.P. 04470,",San Francisco Culhuacan,-,-
106,"Chilpancingo 54, hipódromo condesa, Cuauhtémoc, Df, mexico, -","Chilpancingo 54, hipódromo condesa, Cuauhtémoc, Df, mexico",Condesa,-,-
108,"San Juan de Dios 50 Col. Toriello Guerra Tlalpan CDMX C.P. 14050, -",San Juan de Dios 50 Col. Toriello Guerra Tlalpan CDMX C.P. 14050,Toriello Guerra,-,-
109,"Medellin #329 col Roma Sur, CDMX, 06760, -","Medellin #329 col Roma Sur, CDMX, 06760",ROMA SUR,-,-
110,"Plaza san luis potosi # 6, -",Plaza san luis potosi # 6,Roma Norte,-,-
111,"Jesus del monte 261 a. Col jesus del monte. Huixquilucan Estado de México. Cp 52764, -",Jesus del monte 261 a. Col jesus del monte. Huixquilucan Estado de México. Cp 52764,JESUS DEL MONTE HUIXQUILUCAN,-,-
112,"Camino a Sta Teresa #13 edificio 7 depto 801. Colonia Pedregal del Lago Ciudad de México c.P 14100, -",Camino a Sta Teresa #13 edificio 7 depto 801. Colonia Pedregal del Lago Ciudad de México c.P 14100,PEDREGAL,-,-
113,"rio tiber num27 col cuahutemoc cdmx cp06500, -",rio tiber num27 col cuahutemoc cdmx cp06500,CUAUHTEMOC,-,-
114,"Av. Chapultepec 260-3 Roma Norte cp 06700 Del Cuauhtemoc, -",Av. Chapultepec 260-3 Roma Norte cp 06700 Del Cuauhtemoc,Roma Norte,-,-
115,"Av.tlahuac 1577 condominio 4 casa 50 u.h.mirasoles, iztapalapa, cd de mex. 09910, -","Av.tlahuac 1577 condominio 4 casa 50 u.h.mirasoles, iztapalapa, cd de mex. 09910",MIRASOLES,-,-
116,"Av las torres 576 san fco coaxusco metepec 52158, -",Av las torres 576 san fco coaxusco metepec 52158,SAN FRANCISCO COAXUSCO,-,-
117,"San Borja 908 col Del Valle. Distrito Federal. Benito Juárez. 03100, -",San Borja 908 col Del Valle. Distrito Federal. Benito Juárez. 03100,Del Valle,-,-
120,"Cedro 107 col. Sta maria la ribera , cuauhtemoc. 06400, -","Cedro 107 col. Sta maria la ribera , cuauhtemoc. 06400",SANTA MARIA DE LA RIBERA,-,-
122,"Coahuila 221, Roma sur, CDMX, 06760, -","Coahuila 221, Roma sur, CDMX, 06760",ROMA SUR,-,-
123,"Toltecas 166 Torre E Depto 1508 Col Carola, CP 01180, CDMX, -","Toltecas 166 Torre E Depto 1508 Col Carola, CP 01180, CDMX",CAROLA,-,-
124,"Dante 18 col anzures ciudad se mexico 11590, -",Dante 18 col anzures ciudad se mexico 11590,ANZURES,-,-
125,"Toltecas 166 col carola depto E piso 5 delegación Álvaro Obregón cp. 01180, -",Toltecas 166 col carola depto E piso 5 delegación Álvaro Obregón cp. 01180,CAROLA,-,-
126,"Eugenia 1164 narvarte poniente benito juarezona 14330, -",Eugenia 1164 narvarte poniente benito juarezona 14330,NARVARTE PONIENTE,-,-
127,"Cerrada liga de carreteras edificio 10 Colonia ampliación 7 de Julio delegación Venustiano Carranza 15390, -",Cerrada liga de carreteras edificio 10 Colonia ampliación 7 de Julio delegación Venustiano Carranza 15390,AMPLIACIÓN 7 DE JULIO,-,-
128,"Av. Tintorero 147 Int. 101, -",Av. Tintorero 147 Int. 101,-,-,-
129,"Miguel Laurent 1302 -102, -",Miguel Laurent 1302 -102,LETRAN VALLE,-,-
130,"1a cerrada de corregio #20 colonia san juan ciudad de mexico codigo postal 03730, -",1a cerrada de corregio #20 colonia san juan ciudad de mexico codigo postal 03730,SAN JUAN,-,-
131,"Víctor Hugo 18, col. Anzures, CP 11590, Miguel Hidalgo, -","Víctor Hugo 18, col. Anzures, CP 11590, Miguel Hidalgo",ANZURES,-,-
133,"Avenida 5 #184, colonia escuadron e porque, Cdmx, Iztapalapa, 09060-, -","Avenida 5 #184, colonia escuadron e porque, Cdmx, Iztapalapa, 09060-",ESCUADRÓN,-,-
134,"And. Fresnotitla #36 col. La joyita pueblo de tetelpan ciudad de México c.p.01700, -",And. Fresnotitla #36 col. La joyita pueblo de tetelpan ciudad de México c.p.01700,LA JOYITA PUEBLO DE TETELPAN,-,-
136,"Prol. Paseo de la Reforma 1015 Torre A, Piso 22 Santa Fe Mexico City 05348, -","Prol. Paseo de la Reforma 1015 Torre A, Piso 22 Santa Fe Mexico City 05348",SANTA FE,-,-
137,"José María Rico,533, Del Valle Sur, Benito Juárez, 03104, -","José María Rico,533, Del Valle Sur, Benito Juárez, 03104",DEL VALEL SUR,-,-
138,"Fuente de lilas 19 col.lomas de tecamachalco cp53950, -",Fuente de lilas 19 col.lomas de tecamachalco cp53950,LOMAS DE TECAMACHALCO,-,-
139,"Aluminio 374 col. Felipe Ángeles, -",Aluminio 374 col. Felipe Ángeles,DELIPE ÁNGELES,-,-
140,"Calle Felipe Angeles 8, Col. San Lorenzo la Cebada, Xochimilco, CDMX, 16035, -","Calle Felipe Angeles 8, Col. San Lorenzo la Cebada, Xochimilco, CDMX, 16035",SAN LORENZO DE LA CEBADA,-,-
142,"Av. Plutarco Elías Calles 763–1 Col. Nativitas C.P. 03500 Delegación Benito Juárez, -",Av. Plutarco Elías Calles 763–1 Col. Nativitas C.P. 03500 Delegación Benito Juárez,NATIVITAS,-,-
143,"Calle Miguel Hidalgo No. 7, Col. Agrícola Lázaro Cárdenas, Metepec Edo. Mex. C.P. 52148, -","Calle Miguel Hidalgo No. 7, Col. Agrícola Lázaro Cárdenas, Metepec Edo. Mex. C.P. 52148",AGRÍCOLA,-,-
144,"Prolongación Bosques de Reforma 1383, col. Bosques de las lomas, cuajimalpa 05120, -","Prolongación Bosques de Reforma 1383, col. Bosques de las lomas, cuajimalpa 05120",BOSQUES DE LAS LOMAS,-,-
145,"Río Lerma 268-2, Cuauhtémoc, 06500, -","Río Lerma 268-2, Cuauhtémoc, 06500",CUAUHTEMOC,-,-
146,"Calle guelatao #1 colonia nueva Antequera . Puebla pue., -",Calle guelatao #1 colonia nueva Antequera . Puebla pue.,NUEVA ANTEQUERA,-,-
147,"Francisco Lorenzana 14, San Rafael Ciudad de México 06470, -","Francisco Lorenzana 14, San Rafael Ciudad de México 06470",SAN RAFAEL,-,-
148,"Mario Pani #100, col. Cuajimalpa de Morelos, CDMX C.P. 05348, Corporativo Terracota, -","Mario Pani #100, col. Cuajimalpa de Morelos, CDMX C.P. 05348, Corporativo Terracota",CUAJIMALPA DE MORELOS,-,-
149,"San francisco xocotitla 119, col del gas, cdmx, 02950, -","San francisco xocotitla 119, col del gas, cdmx, 02950",DEL GAS,-,-
150,"Ixcateopan 228, -",Ixcateopan 228,CULHUACAN,-,-
151,"Calle robles s/n col del valle Xochitepec morelos, -",Calle robles s/n col del valle Xochitepec morelos,Del Valle,-,-
152,"Baja California 64 entre tonala y ures, Roma Sur, 06760., -","Baja California 64 entre tonala y ures, Roma Sur, 06760.",ROMA SUR,-,-
153,"Cerrada Bernabé Carrizales Edificio 14 Interior 201, Manuel Rivera Anaya en Puebla Puebla. Código Postal 72309, -","Cerrada Bernabé Carrizales Edificio 14 Interior 201, Manuel Rivera Anaya en Puebla Puebla. Código Postal 72309","MANUEL RIVERA ANAYA, PUEBLA ",-,-
154,"Obrero Mundial 920 Álamos, CDMX, 03400, -","Obrero Mundial 920 Álamos, CDMX, 03400",Alamos,-,-
155,"Santa Teresa No. 60 y 64, col. Tepalcates, Delegación Iztapalapa, C.P. 09210, -","Santa Teresa No. 60 y 64, col. Tepalcates, Delegación Iztapalapa, C.P. 09210",TEPALCATES,-,-
156,"Cda del Rosal no. 1 San Luis Tlaxialtemalco, Xochimilco, -","Cda del Rosal no. 1 San Luis Tlaxialtemalco, Xochimilco",SAN LUIS TLAXIALTEMALCO,-,-
